휴게시설,,,,NNP,*,T,휴게시설,*,*,*,*,*
편의시설,,,,NNP,*,T,편의시설,*,*,*,*,*
체육시설,,,,NNP,*,T,체육시설,*,*,*,*,*
난방시설,,,,NNP,*,T,난방시설,*,*,*,*,*
환경개선,,,,NNP,*,T,환경개선,*,*,*,*,*
환경자원,,,,NNP,*,T,환경자원,*,*,*,*,*
환경평가,,,,NNP,*,F,환경평가,*,*,*,*,*
환경오염,1780,3533,2639,NNP,*,T,환경오염,Compound,*,*,환경/NNG/*+오염/NNG/*
환경보호,,,,NNP,*,F,환경보호,*,*,*,*,*
환경수준,,,,NNP,*,T,환경수준,*,*,*,*,*
의료환경,,,,NNP,*,T,의료환경,*,*,*,*,*
환경질환,,,,NNP,*,T,환경질환,*,*,*,*,*
환경사업,,,,NNP,*,T,환경사업,*,*,*,*,*
환경보건,,,,NNP,*,T,환경보건,*,*,*,*,*
환경기준,,,,NNP,*,T,환경기준,*,*,*,*,*
신재생에너지,,,,NNP,*,F,신재생에너지,*,*,*,*,*
도로확장,,,,NNP,*,T,도로확장,*,*,*,*,*
도로연결,,,,NNP,*,T,도로연결,*,*,*,*,*
자동차도로,,,,NNP,*,F,자동차도로,*,*,*,*,*
일반통행도로,,,,NNP,*,F,일반통행도로,*,*,*,*,*
도로면,,,,NNP,*,T,도로면,*,*,*,*,*
전용도로,,,,NNP,*,F,전용도로,*,*,*,*,*
자전거도로,,,,NNP,*,F,자전거도로,*,*,*,*,*
도로표지,,,,NNP,*,F,도로표지,*,*,*,*,*
지정도로,,,,NNP,*,F,지정도로,*,*,*,*,*
점용도로,,,,NNP,*,F,점용도로,*,*,*,*,*
불법도로,,,,NNP,*,F,불법도로,*,*,*,*,*
도로표지판,,,,NNP,*,T,도로표지판,*,*,*,*,*
전환도로,,,,NNP,*,F,전환도로,*,*,*,*,*
도로안내,,,,NNP,*,F,도로안내,*,*,*,*,*
대체도로,,,,NNP,*,F,대체도로,*,*,*,*,*
도로철거,,,,NNP,*,F,도로철거,*,*,*,*,*
간선도로,,,,NNP,*,F,간선도로,*,*,*,*,*
고가도로,,,,NNP,*,F,고가도로,*,*,*,*,*
인근도로,,,,NNP,*,F,인근도로,*,*,*,*,*
반경도로,,,,NNP,*,F,반경도로,*,*,*,*,*
순환도로,,,,NNP,*,F,순환도로,*,*,*,*,*
남단도로,,,,NNP,*,F,남단도로,*,*,*,*,*
하부도로,,,,NNP,*,F,하부도로,*,*,*,*,*
보행자도로,,,,NNP,*,F,보행자도로,*,*,*,*,*
시민공원,,,,NNP,*,T,시민공원,*,*,*,*,*
공원도로,,,,NNP,*,F,공원도로,*,*,*,*,*
국립공원,,,,NNP,*,T,국립공원,*,*,*,*,*
월드컵공원,,,,NNP,*,T,월드컵공원,*,*,*,*,*
